,Order ID,Order Qty,Total weight as per X (KG),AWB Code,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),Weight slab as per X (KG),Weight slab charged by Courier Company (KG),Warehouse Pincode_y,Zone_y
0,2001806210,2.0,0.22,1091117221940,2.92,121003,140604,b,Forward charges,174.5,0.5,0.5,121003,b
1,2001806226,2.0,0.24,1091117222065,0.68,121003,723146,d,Forward charges,90.2,0.5,0.5,121003,d
2,2001806229,3.0,0.5,1091117222080,0.71,121003,421204,d,Forward charges,90.2,0.5,0.5,121003,d
3,2001806232,8.0,0.377,1091117222124,1.3,121003,507101,d,Forward charges,135.0,0.5,0.5,121003,d
4,2001806233,2.0,0.245,1091117222135,0.78,121003,263139,b,Forward charges,61.3,0.5,0.5,121003,b
5,2001806251,2.0,0.245,1091117222146,1.27,121003,743263,d,Forward charges,135.0,0.5,0.5,121003,d
6,2001806273,4.0,0.615,1091117222194,1.0,121003,486886,d,Forward charges,90.2,1.0,1.0,121003,d
7,2001806304,3.0,0.5,1091117222360,0.71,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
8,2001806304,3.0,0.5,1091117222360,0.71,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
9,2001806304,3.0,0.5,1091117222360,0.71,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
10,2001806304,3.0,0.5,1091117222360,0.71,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
11,2001806304,3.0,0.5,1091117222360,0.71,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
12,2001810549,5.0,0.849,1091117806263,1.86,121003,302017,d,Forward charges,179.8,1.0,1.0,121003,b
13,2001810549,5.0,0.849,1091117806263,1.86,121003,302017,d,Forward charges,179.8,1.0,1.0,121003,b
14,2001810549,5.0,0.849,1091117806263,1.86,121003,302017,d,Forward charges,179.8,1.0,1.0,121003,b
15,2001810549,5.0,0.849,1091117806263,1.86,121003,302017,d,Forward charges,179.8,1.0,1.0,121003,b
16,2001810549,5.0,0.849,1091117806263,1.86,121003,302017,d,Forward charges,179.8,1.0,1.0,121003,b
17,2001811306,4.0,0.945,1091117958163,1.1,121003,302017,d,Forward charges,135.0,1.0,1.0,121003,b
18,2001811306,4.0,0.945,1091117958163,1.1,121003,302017,d,Forward charges,135.0,1.0,1.0,121003,b
19,2001811306,4.0,0.945,1091117958163,1.1,121003,302017,d,Forward charges,135.0,1.0,1.0,121003,b
